Date,Close,Open,High,Low,Change %
02-Apr-19,2.472,2.488,2.492,2.467,-1.24%
01-Apr-19,2.503,2.43,2.508,2.424,3.09%
31-Mar-19,2.428,2.424,2.428,2.424,0.87%
29-Mar-19,2.407,2.393,2.433,2.391,0.67%
28-Mar-19,2.391,2.365,2.405,2.34,0.42%
27-Mar-19,2.381,2.425,2.432,2.352,-1.81%
26-Mar-19,2.425,2.414,2.453,2.402,0.83%
25-Mar-19,2.405,2.453,2.473,2.377,-1.89%
24-Mar-19,2.451,2.45,2.451,2.45,0.59%
22-Mar-19,2.437,2.539,2.539,2.418,-4.02%
21-Mar-19,2.539,2.524,2.546,2.5,0.55%
20-Mar-19,2.525,2.616,2.618,2.524,-3.55%
19-Mar-19,2.618,2.603,2.634,2.591,0.50%
18-Mar-19,2.605,2.594,2.611,2.585,0.41%
17-Mar-19,2.594,2.592,2.594,2.592,0.13%
15-Mar-19,2.591,2.628,2.638,2.58,-1.48%
14-Mar-19,2.63,2.621,2.645,2.611,0.19%
13-Mar-19,2.625,2.607,2.628,2.605,0.96%
12-Mar-19,2.6,2.657,2.674,2.596,-1.55%
11-Mar-19,2.641,2.63,2.659,2.623,0.41%
10-Mar-19,2.63,2.628,2.63,2.628,0.00%
08-Mar-19,2.63,2.645,2.652,2.607,-0.42%
07-Mar-19,2.641,2.69,2.693,2.636,-1.93%
06-Mar-19,2.693,2.719,2.72,2.679,-0.96%
05-Mar-19,2.719,2.728,2.75,2.715,-0.18%
04-Mar-19,2.724,2.766,2.768,2.719,-1.51%
03-Mar-19,2.766,2.77,2.77,2.766,0.25%
01-Mar-19,2.759,2.719,2.768,2.711,1.55%
28-Feb-19,2.717,2.675,2.731,2.659,1.15%
27-Feb-19,2.686,2.634,2.699,2.628,1.82%
26-Feb-19,2.638,2.663,2.668,2.632,-1.12%
25-Feb-19,2.668,2.668,2.684,2.655,0.07%
24-Feb-19,2.666,2.664,2.666,2.664,0.46%
